model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
2,7,sigmoid,nuclear,half,10,10.0,1.953636,7.887719,8.402316e-04,0.452381,90,0.0516,1
2,7,sigmoid,nuclear,half,10,100.0,1.554577,6.276537,2.832269e-04,0.595238,614,0.3589,1
2,7,sigmoid,nuclear,half,10,1000.0,0.897273,3.622700,6.328637e-05,0.809524,734,0.4229,1
2,7,sigmoid,nuclear,half,10,10000.0,0.471389,1.903214,1.411801e-05,1.000000,1000,0.5803,0
2,7,sigmoid,nuclear,last,20,1.0,2.059990,8.317117,2.186537e-03,0.404762,55,0.0328,1
2,7,sigmoid,nuclear,last,20,10.0,1.954418,7.890876,8.412847e-04,0.452381,119,0.0705,1
2,7,sigmoid,nuclear,last,20,100.0,1.554587,6.276576,2.832333e-04,0.595238,495,0.2893,1
2,7,sigmoid,nuclear,last,20,1000.0,0.897279,3.622725,6.328150e-05,0.809524,805,0.5008,1
2,7,sigmoid,nuclear,last,20,10000.0,0.468729,1.892473,1.408982e-05,1.000000,1000,0.6236,0
2,7,sigmoid,spectral,all,1,1.0,1.941591,7.839089,3.577075e-03,0.476190,48,0.0349,1
2,7,sigmoid,spectral,all,1,10.0,1.855177,7.490196,1.850522e-03,0.500000,99,0.0601,1
2,7,sigmoid,spectral,all,1,100.0,1.365967,5.515034,5.868629e-04,0.738095,275,0.1827,1
2,7,sigmoid,spectral,all,1,1000.0,0.721493,2.912997,1.012306e-04,0.928571,320,0.2036,1
2,7,sigmoid,spectral,all,1,10000.0,0.449256,1.813850,2.735087e-05,0.952381,289,0.1792,1
2,7,sigmoid,spectral,half,10,1.0,1.940994,7.836680,2.574907e-03,0.476190,58,0.0379,1
2,7,sigmoid,spectral,half,10,10.0,1.882380,7.600025,7.516682e-04,0.476190,75,0.0450,1
2,7,sigmoid,spectral,half,10,100.0,1.694584,6.841808,4.308993e-04,0.523810,231,0.1409,1
2,7,sigmoid,spectral,half,10,1000.0,1.101458,4.447087,8.194221e-05,0.714286,686,0.4608,1
2,7,sigmoid,spectral,half,10,10000.0,0.584184,2.358616,1.683827e-05,0.904762,577,0.3599,1
2,7,sigmoid,spectral,last,20,1.0,1.940994,7.836679,2.574858e-03,0.476190,54,0.0387,1
2,7,sigmoid,spectral,last,20,10.0,1.882380,7.600029,7.516709e-04,0.476190,74,0.0504,1
2,7,sigmoid,spectral,last,20,100.0,1.694572,6.841760,4.308912e-04,0.523810,218,0.1550,1
2,7,sigmoid,spectral,last,20,1000.0,1.101449,4.447053,8.194240e-05,0.714286,682,0.5503,1
2,7,sigmoid,spectral,last,20,10000.0,0.584184,2.358617,1.683831e-05,0.904762,555,0.3543,1
2,7,tanh,frobenius,all,1,1.0,1.826627,7.374926,5.554614e-02,0.500000,286,0.1377,1
2,7,tanh,frobenius,all,1,10.0,1.105901,4.465027,1.363077e-02,0.785714,412,0.2088,1
2,7,tanh,frobenius,all,1,100.0,0.454117,1.833476,2.915268e-03,0.952381,579,0.2896,1
2,7,tanh,frobenius,all,1,1000.0,0.210292,0.849045,5.455059e-04,0.976190,545,0.2815,1
2,7,tanh,frobenius,all,1,10000.0,0.100748,0.406766,1.202464e-04,0.952381,763,0.4104,1
2,7,tanh,frobenius,half,10,1.0,2.179645,8.800222,5.834548e-02,0.261905,427,0.2135,1
2,7,tanh,frobenius,half,10,10.0,1.547117,6.246418,3.711208e-02,0.619048,490,0.2191,1
2,7,tanh,frobenius,half,10,100.0,0.847912,3.423406,2.900670e-02,0.880952,607,0.2766,1
2,7,tanh,frobenius,half,10,1000.0,0.624601,2.521798,2.869091e-02,0.928571,615,0.2776,1
2,7,tanh,frobenius,half,10,10000.0,0.620682,2.505976,2.868953e-02,0.928571,577,0.2504,1
2,7,tanh,frobenius,last,20,1.0,2.056497,8.303016,1.286342e-02,0.285714,919,0.4043,1
2,7,tanh,frobenius,last,20,10.0,1.740642,7.027765,6.585576e-03,0.428571,1000,0.4536,0
2,7,tanh,frobenius,last,20,100.0,1.151215,4.647979,4.502644e-03,0.690476,1000,0.4516,0
2,7,tanh,frobenius,last,20,1000.0,1.032852,4.170095,3.892631e-03,0.714286,1000,0.4735,0
2,7,tanh,frobenius,last,20,10000.0,1.467397,5.924550,5.880271e-03,0.547619,1000,0.4691,0
2,7,tanh,nuclear,all,1,1.0,1.498485,6.050066,3.594784e-02,0.547619,501,0.2647,1
2,7,tanh,nuclear,all,1,10.0,0.772087,3.117266,8.274967e-03,0.880952,740,0.3896,1
2,7,tanh,nuclear,all,1,100.0,0.337496,1.362626,1.737319e-03,0.976190,566,0.3264,1
2,7,tanh,nuclear,all,1,1000.0,0.154527,0.623896,3.691555e-04,1.000000,441,0.2509,1
2,7,tanh,nuclear,all,1,10000.0,0.072528,0.292827,7.836710e-05,1.000000,534,0.2991,1
2,7,tanh,nuclear,half,10,1.0,1.808422,7.301423,5.615336e-02,0.476190,212,0.1135,1
2,7,tanh,nuclear,half,10,10.0,1.175880,4.747564,3.367558e-02,0.761905,534,0.2692,1
2,7,tanh,nuclear,half,10,100.0,0.632142,2.552244,2.876864e-02,0.928571,539,0.2775,1
2,7,tanh,nuclear,half,10,1000.0,0.522172,2.108245,2.898949e-02,0.928571,673,0.3491,1
